title,dislikes,hashtag
조정석 - 아로하 (슬기로운 의사생활) cover by 마라탕,3,
IU(아이유) - Into the I-LAND (Acoustic) cover by 마라탕 (Lyrics/Eng),2,
(신용재 커버콘테스트) 신용재 - 별이온다 cover by 마라탕 (Lyrics/Eng),0,
스탠딩 에그 - 오래된노래 cover by 마라탕,6,
백현 (Baek Hyun) - 나의 시간은 (Every second) cover by 마라탕,0,
샘김 (Sam Kim) - 숨 (Breath) cover by 마라탕,0,
임창정 - 힘든 건 사랑이 아니다 cover by 마라탕,1,
폴킴(Paul Kim) - 너도 아는 cover by 마라탕 X BJ동구,2,
#하현우 X #야나두 - #힘나쏭챌린지 cover by 마라탕,6,
"성시경, 박효신, 이석훈, 서인국, 빅스(VIXX) - 크리스마스니까 cover by 마라탕 & 마라곰탕",2,
정동하 - 추억은 만남보다 이별에 남아 cover by 마라탕 ll 정동하 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 2],6,
이수 (M.C THE MAX) - Your Lights cover by 마라탕 ll 이수 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 1] (재업로드),66,
송이한 - 밝게 빛나는 별이 되어 비춰줄게 cover by 마라탕 ll 송이한 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 3],40,
허각 - 고백 (Original song by 포맨) cover by 마라탕 ll 허각 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 4],2,
박혜원(HYNN) - 그대 없이 그대와 cover by 마라탕 ll 박혜원 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 5],2,
엠씨더맥스 (M.C the MAX) - 너의 흔적 cover by 마라탕 ll 엠씨더맥스 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 6],20,
포맨 - 우린 아직 헤어지기 전 cover by 마라는대로 MaRa Music ll 포맨 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 7],3,
마라탕 X 뜐뜐 - 마크툽 메들리 (Maktub Medley) [오빛너 + 마말행 + 너그우 + 별담시 + Marry me + Forever more + Memory],24,
마크툽(MAKTUB) X 마라탕 - 비로소 너에게 도착했다 (Full Bloom) COVER,131,
"마크툽(Maktub) , 이라온 - 너와 나의 세계 cover by 마라탕 (재업로드)",2,
마크툽(MAKTUB) - 너를 그린 우주 (Insomnia2020) (Feat.이라온) cover by 마라탕,27,
"마크툽(MAKTUB),이라온 - 별을 담은 시(Ode To The Stars) cover by 마라탕",20,
"마크툽,이라온,반광옥,정영은,전상근 - 오늘도 빛나는 너에게(To You My Light) End Game Cover by 마라탕",9,
"마크툽,이라온,반광옥,정영은,전상근 - 마음이 말하는 행복 (Happy Ending) cover by 마라탕",9,
마크툽(MAKTUB) - 숲의 목소리 (Vocal.이라온) cover by 마라탕,2,
마크툽(MAKTUB) - Forever More (Vocal.반광옥) cover by 마라탕,9,
"마크툽(MAKTUB),이라온 - 정말 사랑했을까(Original song by Brown Eyed Soul) cover by 마라탕",2,
마크툽(MAKTUB) - Violet Night (Feat.이라온) cover by 마라탕 X 변준수,2,
마크툽 (Maktub) - Marry Me (Special Edition) cover by 마라탕 X 변준수,2,
"마크툽,이라온,반광옥,정영은,전상근 - 마음이 말하는 행복 (Happy Ending) cover by 마라탕 Teaser",0,
마크툽 (Maktub) - 숲의 목소리 (Vocal.이라온) Special Edition cover by 마라탕,2,
"하동균 , 봉구 - 기다릴게 cover by 마라는대로 MaRa Music ll 하동균 , 봉구 노래를 마크툽 이라온 느낌으로 불러보자 [EP. 8]",4,
마라는대로 MaRa Music - SG워너비 메들리 (SG Wannabe Medley) [Timeless + 내사람 + 라라라 + 죄와벌 + 가슴뛰도록],5,
"BTS(방탄소년단) - Film Out (Korean Ver) cover by 마라는대로 MaRa Music (Lyrics/ Kor , Eng)",3,
MSG워너비 - 상상더하기 cover by 마라는대로 MaRa Music,4,
마크툽(MAKTUB) - 익산으로 (추억속 별 이야기) cover by 마라는대로 MaRa Music ll 구독자에게 부르는 노래,2,
탑현 - 이제와서(+1key) cover by 마라는대로 MaRa Music ll 탑현 노래를 마크툽 이라온 느낌으로 불러보자,2,
MSG워너비(M.O.M) - 바라만 본다(+1key) cover by 마라는대로 MaRa Music ll MSG워너비 노래를 마크툽 이라온 느낌으로 불러보자,14,
MSG워너비(정상동기) - 나를 아는 사람(+2key) cover by 마라는대로 MaRa Music ll 나를 아는 사람을 브라운아이드소울 느낌으로 불러보자,3,
SG워너비 - 아리랑 cover by 마라는대로 MaRa Music ll 게시글 작성자 기준 코로나 제발 종말기원 하며 부른노래,5,
마크툽(MAKTUB) - 낯설어 (Vocal.이라온) cover by 마라는대로 MaRa Music ll 마크툽 노래중 🔥헬🔥 이라고 생각되는 곡중 하나,5,
마라는대로 MaRa Music - 발라드 메들리 [ 너의 모든 순간+너를 만나+눈의 꽃+그대가 분다+잠시만 안녕+첫눈+미친소리+바람이 불었으면 좋겠어+넌 내가 보고 싶지 않나봐 ],13,
백지영 - 잊지 말아요 cover by 마라는대로 MaRa Music ll 옛날 띵곡 마라는대로 느낌으로 편곡해서 부르기 ll 🔥3옥타브 솔🔥 (Feat . PO두성WER),3,
정동하 - 너의 모습 cover by 마라는대로 MaRa Music ll 정동하 노래를 마크툽 이라온 느낌으로 불러보자 ll 🔥3옥타브 솔샵🔥 그냥 내질러 버리기,3,
마크툽(MAKTUB) X 마라는대로 - 찰나가 영원이 될 때 (The Eternal Moment) COVER,235,
