title,dislikes,hashtag
오빠들이 지금도 듣는 락발라드!! 천상연 - CAN,47,
40대 오빠들이 열광하는 락발라드 이브 너 그럴때면,8,
그래서 그대는 이영현ver 뛰어넘으려다 굴러떨어짐,108,
'K2 김성면'님께서 유리의성으로 기강잡으러 오심...,2,
남자들 미치게만드는 노래 ‘Say Yes’ 원곡자님??? (김명기님 콜라보 대박),59,
시원하게 평가해 주세요. (악플 환영 ^__^) 부활 - 비밀,35,
노래방에서...버즈 '가시' 부르다 남자에게 차임;;; 민망쓰...,55,
🔥술마시고 5분만에 끝내버린 녹음...🔥 진짜 잘부르지 않았어요? '밤의 길목에서' 김세영,16,
💥죽기전에 꼭 한번 부르고 싶다는 그곡💥...슬프도록 아름다운-k2 김성면,43,
가을하면 락발라드는 필수지... 너를 보내고 (윤도현 YB),14,
🔥+2키 이노래가 이렇게 높았다고????🔥 지상에서 영원으로 (정경화),16,
🔥상남자 노래 하면 이거지🔥 '내가 선택한길 part1- 손성훈,29,
"🔥;;실수로 +2key 올려버림;; 미쳤나봐... 🔥사랑,결코 시들지 않는 (서문탁)",23,
"진짜 최선을 다해 온힘을 다해 부른,, 천년의 사랑 (박완규)",29,
😱이노래로 사랑고백하다 죽습니다... 😱아름다운 구속 (넘나 높은곡...),33,
[얀 컬렉션 #6] 솔직히 이노래 듣고 안운사람있다고? 그래서 그대는 얀,58,
저한텐... 버즈의 Monologue가 제일 잘 어울리는거같아요!!! #테이,27,
노래가 한층 더 성장했어요!! | Heaven 김현성,58,
[얀 컬렉션 #5] 락 매니아만 아는 그노래... 얀 슬픈동화,0,
왜? 멜론엔 이곡이 없을까?? 강형록-비창(3key up) 아는사람만 안다능...,34,
서문탁님 사슬 시원하게 부릅니다,30,
이거 부르면 누나랑 사겨주냐…? 2021 형 ver,36,
어떤 노래보다 진심으로 부른 노래 '말리꽃',81,
성량폭발!! 찢어버리자!!💥 '사미인곡' 서문탁 커버| 버블디아,85,
이름만 들어도 눈물나는... 김경호 '아버지' | 버블디아,107,
(편곡)'최초의 여성 락커' 다시 사랑한다면 -도원경 커버 | 버블디아,334,
[얀 컬렉션 #3] (+4키업) 천장뚫을 듯한 고음곡 🌋 After - 얀 (노래 높낮이 실화냐ㅡㅡ) ㅣ 버블디아,122,
(+3키업) 고음의 끝판왕...’떠나는 사람을 위해' 최재훈 | 버블디아,574,
(+4키업↑) '그대가 분다' M.C The Max(엠씨더맥스) 지금 날씨에 딱이다...ㅣ 버블디아,94,
"(+5키 업)하동균, 이정이 부르는 노래를???🤯 기다릴게 커버 | 버블디아",212,
도전해도 98% 실패 한다는 곡 '나의 사랑 천상에서도' 커버 김경호 | 버블디아,473,
(노 믹싱❌노 튠❌ 원본) Endless - 플라워 커버 | 버블디아,299,
왜 이 명곡을 지금 커버했죠??🤯중독된 사랑 - 조장혁 (이어폰과 차에서 듣는거 추천해요 소리 증폭이 달라요~^^) | 버블디아,209,
시원하게 쭉~뽑았습니다📣 사랑 결코 시들지않는(커버) -서문탁 | 버블디아,758,
"+5키,6단고음🔥 어려운 노래라고 소문난곡 '사랑했었다' (Still love you- lee hong gi, yoo hwe seung) | 버블디아",806,
1집의 레전드는 '자유인'- 김경호 | 버블디아,68,
(+3키업) 남자들의 로망📣 비정 - 김경호 커버 | 버블디아,945,
(+5키업)불멸의 곡🔥이미슬픈사랑 - 야다(yada) | 버블디아,840,
(편곡ver.) 97년 1위곡🏆나를 슬프게 하는 사람들 커버 - 김경호 | 버블디아,440,
힘들때 한번씩 꺼내 듣는 곡... 나만의 슬픔 - 김돈규 커버 | 버블디아,744,
한때 남자분들의 애창곡... b612의 '나만의 그대모습' | 버블디아,153,
민경훈이 아니면 부르지 말아야 할 '겁쟁이' 버즈,41,
❤ 'She's Gone' Steelheart +2키 올려서 가즈아~~~❤,49,
💥역대 최고의 한국 락발라드 모음 1시간 (무손실 고음질)💥,262,
가을아~ 어서오렴 '사랑two' - 윤도현 💕 떨린다...,58,
락매니아분들 모엿라~top 중에 top 김혁건 '나만의 그대',42,
소찬휘 TEARS (티얼스) 노래방에서 이만한 곡도 없지~,94,
💥 시원한 고음 대폭발!!! '낭만고양이' 💥ㅣ 버블디아 체리필터,117,
800만 찍고 다시 부르는 '질풍가도' | 버블디아 커버,143,
빗소리와 함께 들으면 좋은 '마지막 사랑' | 버블디아 박기영 커버,47,
900만 조회수 Don't Cry 더 크로스 커버 | 버블디아,84,
독보적 락발라드의 전설 최재훈 '널 보낸후에' 커버 | 버블디아,78,
1000만 조회수 찍은 MY WAY (4키+) 한번더 목청찢기 | 버블디아,294,
락 덕후 울게 만드는 부활 비와 당신의 이야기 | 버블디아 커버,83,
900만 조회수의 주인공 '하늘 끝에서 흘린 눈물' | 버블디아 주니퍼 미러전,350,
1000만 조회수 찍고 다시 부르는 유튜브 최고 조회수 YOU| 버블디아 김상민,156,
"""여러분들의 신청곡"" 부활의 사랑할수록 ... 90년대로 돌아가고 싶다... | 버블디아",172,
(락발라드)세상의 끝에서 '나를 외치다' - 마야 | 버블디아,76,
하..이젠 부를때가 된거같아요... '서시' - 신성우 (다들 어깨 동무 합시다~) | 버블디아,86,
컬트의 명곡 '너를 품에 안으면' 커버 | 버블디아,58,
"+5키,7단고음💣💣잠시만 안녕(커버) - Mc the max (이수) | 버블디아",1.1천,
+2키업(ㅎㅎ..)😱 She's gone (쉬즈곤) 커버- Steelheart | 버블디아,4천,
4키업 하이라이트⬆️ 형(커버) - 노라조 | 버블디아,1.3천,
불태웠어요🔥어디에도-엠씨더맥스(+4key+3단고음 하이라이트) | 버블디아,1.5천,
+4키⬆️(남심 자극끝판왕) 주니퍼-하늘 끝에서 흘린 눈물 | 버블디아,3천,
목청터짐…💣💣 +4키업 MY WAY - 이수 (돈꽃OST) 커버 | 버블디아,5.6천,
멜로망스도 부르셨다❤️ YOU-김상민 (+2키UP 하이라이트) | 버블디아,4.4천,
가즈~~~아⚡️ +5키업 질풍가도-유정석 (쾌걸 근육맨 2세 OST)ㅣ버블디아,3.1천,
Don't Cry - 더크로스 +2키업 (목청터지는줄)ㅣ버블디아,2.6천,
박완규 - lonely night /박기영 ver. kpop coverㅣ버블디아,147,
Buzz(버즈) The Love(사랑하지 않은 것처럼)Kpop Coverㅣ버블디아,246,
천년의 사랑 - 원곡 박완규/ 이영현 kpop cover ㅣ버블디아,1.8천,
