title,dislikes,hashtag
심장소리 - 나윤권 (Cover by 전철민),0,
심장소리 - 나윤권 (Cover by 전철민),0,
우리들의 블루스 - 임영웅 (Cover by 카진),0,
8090년생 가사 없어도 따라 부를수 있는 노래💕 :: 사랑인걸 - 모세 (Cover by 전철민),4,
추억은 만남보다 이별에 남아 - 정동하 (Cover by 카진),0,
she is - 클래지콰이 (Cover by 전철민),0,
사건의 지평선 - 윤하 (Cover by 빈밤),2,
소녀 - 이문세 (Cover by 전철민),3,
바보에게 바보가 - 이석훈 (Cover by 카진),3,
추억 가득한 슬픈 노래😥 :: Forever - 안재욱 (Cover by 전철민),3,
사랑하게 될 줄 알았어 - 전미도 (cover by 김다은),0,
사랑하는 엄마에게 보내는 마지막 편지 :: 엄마의 꿈 - 린 (개사 Ver.) 故 남은희의 아들 전철민,3,
다른 가사는 기억 안 나지만 찌개 이름은 확실히 기억나는 노래 :: 된장 찌개를 좋아해 - 박정은 (Cover by 전철민),0,
"지금봐도 촌스럽지 않은 🔥1세대 아이돌 메들리🔥 - H.O.T, 젝스키스, 신화, G.O.D (Cover by 프리패스)",3,
나를 외치다 - 마야 (Cover by 전철민),0,
무대 보면서 혼자 몰래 울었던 노래😥 :: 가족 - 홍대광 (Cover by 전철민),0,
"수고했어, 오늘도 - 옥상달빛 (Cover by 전철민)",3,
100% 실화 이야기😥 :: Sunday Seoul - 중식이│전철민 개사 ver,0,
If Only - 나윤권 (Cover by 전철민),0,
님은 먼곳에 - 나미애 (Cover by 지세희),2,
하고 싶은 말 - 김태우 (Cover by 전철민),2,
"봄 메들리(봄이 되줄게, Love Blossom (러브블러썸), 봄봄봄, 그래, 너, 벚꽃엔딩) (song by 이승혁)",0,
"잘가요, 괜찮아요 - 이준호 (Cover by 전철민)",4,
30대 저격 ver :: 신호등 - 이무진 (Cover by 강하루),3,
너의 모든 순간💕 - 성시경 (Cover by 전철민),5,
우리가 잠 못 이루는 이유😥 :: 오늘 - 오왠 (Cover by 전철민),1,
모두 한번쯤 해본 🔥취중고백🔥 - 김민석(멜로망스) (Cover by 전철민),3,
저도 한번 불러보겠습니다. :: 호랑수월가 - 탑현 (Cover by 전철민),7,
엠씨더맥스 노래를 가장 잘 소화하는 :: 엠씨더맥스 - 너의 목소리가 들려 (Cover by 전철민),4,
🔥2022 베이징 동계올림픽🔥 :: 힘내 - 소녀시대 (Cover by 전철민x바스타즈),0,
세월이 흘러도 매번 슬퍼지는 노래 :: 잘가요 - 정재욱 (Cover by 전철민),3,
[사랑의 불시착 OST] 믿고 듣는 노래 :: 마음을 드려요 - 아이유 (Cover by 전철민),3,
[해를 품은 달 OST] 시간을 거슬러 - 린 (Cover by 전철민),7,
듣고보니.. 추억이 생각나는 :: 흰눈 - 먼데이키즈 (Cover by 전철민),8,
[신사와 아가씨 OST] 임영웅 버전 듣고 불러보는❤ :: 사랑은 늘 도망가 - 이문세 (Cover by 소울 크라이),3,
가진 거라곤 이 목소리밖에 없다 :: 이노래 - 2am (Cover by 전철민),4,
🔥2022년 화이팅🔥 :: 꿈을 꾼다 - 서영은 (Cover by 전철민),7,
"기다릴게 - 하동균, 봉구 ( Song by 디셈버 DK X 전철민 )",50,
유해준 명곡 시리즈#2 :: 미치게 그리워서 - 유해준 (Cover by 전철민),9,
여자친구가 아니어도 사랑할수 있는 2000년대 짝사랑 감성 :: 그녀가 웃잖아 - 김형중 (Cover by 전철민),2,
[Official Music] 너를 닮은 세상 - 드라마틱스 (Vocal by 전철민),0,
"한 호흡으로 야생화 불러낸 역대급 박효신 메들리 (눈의 꽃, 좋은사람, 동경, 바보, 숨, 야생화) - 박효신 (Cover by 카진)",9,
내가 결혼하면 축가로 부를 노래💕 :: 나에게 그대만이 - 유해준 (Cover by 전철민),25,
[Official Music] 모르죠 - 전철민 x 소울크라이,3,
미친보컬 2명이 만났다 :: 다시 만날까 봐 - V.O.S (Cover by 전철민 x 카진),2,
🔥역대급 헬곡🔥 하루에 단 한번 부를 수 있는 :: 나와 헤어진 걸 다행이라 생각할 수 있게 - DK (Cover by 전철민 ),7,
🥶벌써 12월 '겨울이야 - 박민규' (Vocal by 전철민 x 박민규 ),3,
기대 - 나윤권 (Cover by 전철민 ),3,
💖 셀프축가 :: 결혼합니다 - 지천비화(地天悲話) 💖 (Cover by전철민 X 임효라),2,
나 혼자만 아픈 이별 후폭풍 노래 :: 사랑을 할 순 없어도 그리울 순 있잖아요 - 이준호 (전철민 x 이준호),4,
두 남자의 미친 고음🔥 :: 어김없이 - 엠씨더맥스(M.C the MAX) (Cover by 전철민 X 우현식 ),7,
[Official Music] 사랑은 아프지 않아도 눈물이 난다 - 데니스 프로젝트 (Feat. 전철민),2,
회식할 때 불러주면 이쁨받는 레전드 명곡 :: 후애 - M.N.J (Cover by 전철민),11,
어릴적 누구나 좋아하던 노래 :: 산골 소년의 사랑 이야기 - 려욱 ver. (Cover by 전철민),13,
믿고 듣는 명곡 퍼레이드🎉 :: 디셈버 메들리 - 디셈버 (Cover by 전철민 ),10,
Lonely Night - 부활 (Cover by 전철민 ),2,
전하지 못한 진심 (SELF NOTE X STAZ ) - 방탄소년단(BTS) (Cover by 전철민 ),4,
당신이 견딜수 있는 이별의 시간은?? :: 얼마나 - 카진(Kajin) (Cover by 전철민 ),2,
"[Official Music] 어떻게든 잊는다 - 주대건 (Feat. 전철민,소울크라이,카진)",3,
[ 남자 ver. ] 사실나는 - 전건호 (Cover by 전철민),5,
가까이 있어도 마음이 닿지 않는 사람에게 보내는 노래 :: 닿을듯 말듯 - 대한 (Feat.지노) (Cover by 전철민),4,
너는 벌써 30평에 사는구나.. 'Fine thank you and you? - 10cm' (Cover by 전철민 ),2,
"'장범준, 10CM, 멜로망스' 다음 생각나는 네 번째 고백송🥰 :: 고백 - 델리스파이스 (Cover by 전철민 )",5,
오늘 혼자이신가요? :: 내가 니편이 되어줄게 - 커피소년 (Cover by 전철민),3,
"[보컬의 정석] 이정도면 서울예대 ""22 학번"" 합격 가능할까? :: 미안해 - 양다일 (Cover by 전철민)",5,
10년후 다시 불러보는 :: 화장을 고치고 - 왁스 (Cover by 전철민 ),5,
꽃피는 봄이오면 - 보이스 코리아 2020 ver l 전철민,7,
[최초공개] 랩 하는 발라더 :: BK Love - MC 스나이퍼 (Cover by 전철민 X 유수빈),13,
재능낭비 원피스 실사판 M/V :: 우리의 꿈 - 코요태 (Cover by 전철민 ),5,
그대가 잘못한 게 아녜요 :: 녹턴 - 이은미 (Cover by 전철민 ),9,
"너무 아픈 사랑은 사랑이 아니었음을 - 김광석 (박새별 - 영화""클래식"") (Cover by 지세희)",376,
MP3 시절 무한 반복 곡 🎸:: Endless - 플라워 (Cover by 전철민 ),9,
인생 명반 추천곡💕 :: 썸데이 - 김동희 (Cover by 전철민 ),15,
바쁘신 분들은 하이라이트만 듣고 가세요 (00:00 ~ 05:14) 가을 안부 - 먼데이키즈(Monday Kiz) (Cover by 전철민 ),8,
전철민 신곡! 노래방 등록 기념😎 :: 눈물이 날땐 하품을 해 - 전철민,0,
원곡자와 함께한 라이브 공연🧡 :: 아름다운 사실 - 부활 (Duet Song 전철민 x 정단),2,
요즘 헬스장에서 듣기 좋은 노래😂 :: 나를 아는 사람 - MSG워너비(정상동기) (Cover by 전철민x이하룬x소울크라이x카진),4,
이곡..잠수이별 하신분은 듣지 마세요😢 :: 고칠게 - 진원 (Cover by 전철민 ),10,
바라만 본다 - MSG워너비(M.O.M) (Cover by 소울 크라이 x 카진 x 전철민 x 이하룬),10,
2021년 전철민 2번째 신곡! :: 이별 없는 사랑이 존재하긴 할까 - 제이크오(Jake.O) - Vocal By 전철민,0,
요즘은 90년대 띵곡이 좋아👍 :: 난 널 사랑해 - 신효범 (Cover by 전철민),5,
이별도 세월도 항상 지나고나면 :: 벌써 일년 - 브라운 아이즈 (Cover by 전철민),4,
한때 듣고 싶어도 못 듣던 노래 띵곡 추천👏 :: 나만의 슬픔 - 김돈규 (Cover by전철민 ),8,
사재기 말고 진정한 찐 대중픽 곡💖 :: 이것도 사랑이니 - 이동은 (전철민x이동은),2,
2021년에도 듣고 있는 띵곡✨ 부디 - 심규선 (Cover by 전철민 ),20,
사극풍 드라마 OST (역적: 백성을 훔친 도적) 홍연 - 안예은 (Cover by 전철민 ),12,
노래방에서 꼭 듀엣 하는 곡 :: 안부 - 별 (Feat. 나윤권) (Cover by 전철민 x 마지연),7,
신곡 한번 듣고 가실까요!? :: 우리의 기억은 멈춰있다 - 정이한 (더 넛츠),0,
운전하며 듣지 마세요. 😥눈물샘 슬픔 주의보 :: 비처럼 음악처럼 - 김현식 (Cover by 전철민),7,
원곡자 만큼의 미친 음색을 보여주는 듀엣곡 :: 추억에 살아 - 포맨(4MEN) (Cover by 전철민 X 지세희),14,
힘들고 지칠때.. 지금 필요한 노래 :: 잠들지 못하는 사람들아 들어라 - 영동시장(詠同市場) (Cover by 전철민),8,
트릭스터M OST :: With your everything - 벤 (Cover by 전철민),2,
"너에게 난, 나에게 넌 - 미도와 파라솔 (Cover by 전철민 X 유수빈)",12,
단체곡 축가 이렇게만 해주세요 💖#레전드 축가 1탄 💖 | 신부에게 - 유리상자 (Cover by 정이한(더 넛츠)x이준호x전철민 ),13,
"짝사랑이 가슴 아픈 4가지 이유 :: 짝사랑 메들리 (좋은 오빠 동생으로만, 사랑합니다, 안되나요, 한남자, 스토커)",4,
이별한 동생들이여 그리울땐 울어라 :: 운다 - 리누 (Cover by 전철민 ),3,
아직 사랑한다면 무조건 들어야만 '해요 - 정인호' (Cover by 전철민 ),36,
찐텐 으로 불러본 '첫줄 - 신용재' (Cover by 전철민 ),19,
임창정 노래는 역시 이형님이지! :: 소주 한 잔 - 임창정 (Cover by 전철민 ),17,
2021년 꼭 들어봐야 할 노래!! :: 오늘도 그대만 - T.P RETRO (Cover by 전철민x카진 ),5,
이별하고 술한잔 마셔야 되는 이유 :: 견딜 수 없는 밤 - 카진 (Cover by 전철민 ),3,
듣고있나요.. 엠멕 띵곡을 :: 사랑은 아프려고 하는 거죠 - 엠씨더맥스(M.C the MAX) (Cover by 전철민 ),10,
이별후 가장 많이 하는 거짓말 :: 다시 사랑한다면 - 도원경 (Cover by 전철민 ),19,
🌶매운맛🌶CELEBRITY (cover by 전철민),4,
'그녀는 모르죠' 가사 보면 바로 멜로디가 생각나는 곡 :: 그런가봐요 - 브이원(V.One) (Cover by 전철민 ),30,
감미로운 미성으로 읊어주는 :: 광화문 에서 - 규현(KYUHYUN) (Cover by 전철민 ),8,
제목은 몰라도 한소절 들어보면 바로 아는 띵곡♡,5,
처절하게 목놓아 울부짖어 부른 :: 홀로 아리랑 - 부활 (Cover by 전철민 ),13,
역시 띵곡..🌟 별 보러 가자 - 적재 (Cover by 전철민 ),3,
"이별하기전 꼭 들어야 하는 21곡 메들리 ""있을때 잘해.."" - (song by 전철민)",10,
고백은 담백하고 사랑스럽게 :: I'm in love - Ra.d (cover by 전철민),4,
대한민국 남자를 울리는 찐가사 :: 지친하루X형 메들리(COVER BY 전철민X지울),8,
원래 좋아하던 노래가 역주행 하네요 한번 불러 보겠습니다. '밤하늘의 별을 - 양정승' (cover by 전철민),20,
나 오늘 1일1술 하는 본격 술발라드 장인 커버 :: 혼술하고 싶은 밤 - 벤 (Cover by 전철민 ),25,
촬영중.. 드론까지 박살낸 애절함의 끝판왕 :: 나 가거든 - 조수미 (COVER BY 전철민),151,
남자커버중 가장 소름돋게 부르는 :: 거짓말이라도 해서 널 보고싶어 - 백지영 (Cover by 전철민 ),49,
너와 이별 그리고.. 오늘부터 1일 - 정유진 (cover by 전철민),4,
이승기X윤종신 5년만의 복귀작 바로 불러봅니다! :: [집사부일체] 이승기 - 뻔한남자 (Cover by 전철민),12,
장범준 노래가 이런 찐발라드 노래였다니..? :: 잠이 오질 않네요 - 장범준(cover by 전철민),33,
“당신이 서있는 길..” 눈물을 흘릴수 밖에 없었던 이유 (song : god - 길),8,
🏆도전! 힘나쏭 챌린지🏆 여러분 우리함께 힘내요!! :: 하현우 - 힘나쏭 (song by 전철민),7,
혹시 이 노래 모르시는 거 아니시죠!? :: 사랑은 늘 도망가 - 이문세 (Cover by 전철민 ),28,
질리지않는 2000년대 명품 발라드 :: Heaven - 김현성 (Cover by 전철민),21,
너무 높아서 부르다 성대 갈릴뻔..갓창정 리스펙👍 :: 임창정 - 힘든 건 사랑이 아니다 (cover by 전철민),30,
가수는 갑자기 노래를 시켜도 잘할까?,3,
+2key 마음과 가창력으로 부른 :: 길 - 한동근(cover by 전철민),7,
전철민의 구독자송 :: 임재범 - 이 또한 지나가리라 (Cover by 전철민 ),4,
촬영중 무방비 상태로 시작한 역대급 무반주 라이브 '여전히 아름다운지' (Cover by 전철민),4,
아~~주 멀리서 버스킹 #1 :: 오직 너만 - 김범수(cover by 전철민),17,
아~~주 멀리서 버스킹 #2 :: 사랑합니다 - 팀 (Cover by 전철민),4,
철민이형 정말 잘부르시네요.. 뱅크(복면가왕 클레오파트라) - 가질 수 없는 너 (cover by 전철민),25,
철없던 20대를 지나 서른이 되었을때.. :: 그것만이 내 세상 - 들국화 (cover by . 전철민),9,
"1000여곡을 부른 발라더가 해석해본 ""사랑에 빠지고 싶다 - 김조한"" (Cover by 더히든 전철민 )",14,
"사랑을 xx 하지 마세요.. ""박원 - 노력"" (Cover by 더히든 전철민)",5,
"성대가 찢어져도 후렴은 부른다..""임한별 - 이별하러 가는 길"" (Cover by 카진)",6,
"미스터트롯 우승자 특전곡 ""임영웅 - 이제 나만 믿어요"" (Cover by 소울크라이)",4,
디셈버(DK) - 인기척 하이에나 OST (Cover by 더히든 전철민),7,
"보이스코리아 2020 극적인 올턴!! 주인공 ""마크툽(Maktub) -오늘도 빛나는 너에게"" (Cover by 정유진)",20,
🌸꽃놀이는 못가도 괜찮아 귀로 느끼는 봄메들리 (Cover by. 더히든 전철민 x 메일),3,
이태원 클라쓰 OST 메들리 Part .1 ~ Part.10 모음 (Cover by 더히든 전철민 X 카진X 성배 ),3,
"1시간만 이렇게 노래하게 해주세요..""노을 - 너는 어땠을까"" (Cover by 더히든 전철민 X 소울크라이)",12,
"연륜없이 부르면 안되는 노래 ""옛사랑 - 이문세"" (Cover by 대중소 소울크라이)",17,
슈가맨 특집!! 씨야(See Ya)편 - 구두(남자VER) (Cover by 더히든 전철민),13,
고음 헬곡을 부른 지세희 - 아직 (Cover by 더히든 전철민),4,
