title,dislikes,hashtag
[COVER] HYNN(박혜원) - 그대 없이 그대와 (남자커버) ㅣ Cover by 탑현,16,
정효빈 - 거울에게 (남자커버) Cover by 탑현,9,
[COVER] 와누카(和ぬか) - 요리요이(寄り酔い) 한국어 개사 Ver. (부제 : 우리집에서 라면 먹고 가요) ㅣ Cover by 탑현,7,
[COVER] 박재정 - 좋았는데 ㅣ Cover by 탑현,11,
[COVER] 케이시(Kassy) - 똑똑 (남자커버) ㅣ Cover by 탑현,3,
이별이라는 말은 안돼 (윤도) Cover by 탑현,5,
테이 - 모놀로그 (원곡 : 버즈) 코노라이브 by 탑현,26,
HYNN(박혜원) - 바래 (남자커버) Cover by 탑현,12,
태일 - Starlight (스물다섯 스물하나 OST) Cover by 탑현,9,
폴킴 - 어제처럼 (원곡 : 제이) Cover by 탑현,7,
[COVER] Pink Sweat$ - At My Worst ㅣ Cover by 탑현(Tophyun),11,
"김진표, 김진호(SG워너비) - 로맨틱겨울🎄 Cover by 탑현, 고떡",10,
[COVER] 경서 - 넌 내꺼야 (남자커버) ㅣ Cover by 탑현,18,
[COVER] 반하나 - 한 여자가 (한 남자가) 남자커버 ㅣ Cover by 탑현,9,
[COVER] 폴킴(Paul Kim) - 우리 만남이(But I'll Miss You) 일반인 커버ㅣ Cover by 탑현,7,
주호 - 잘가요 (원곡 : 정재욱) Cover by 탑현,31,
테이 - 같은 베개 Cover by 탑현,17,
교이 - 그게 맞아 (feat.송현근) Cover by 탑현,3,
[COVER] 솔지 - 오늘따라 비가와서 그런가 봐 (남자커버) ㅣ Cover by 탑현,11,
"검정치마 - 기다린 만큼, 더 Cover by 탑현",8,
"[COVER] #명곡몰아듣기 폴킴편 , 내가 좋아하는 폴킴 노래 / Cover by 탑현",14,
[COVER] 미유 - 잠수이별 (남자커버) ㅣ Cover by 탑현,10,
반하나 - 몹쓸 사랑 (원곡 : 나오미) 남자커버 Cover by 탑현,0,
김필 - 다시 사랑한다면 (원곡 : 도원경) Cover by 탑현,7,
[COVER] 폴킴 - 화이트 (원곡:핑클) ㅣ Cover by 탑현,18,
"마크툽 - 달 속엔 그대가 있나요, 그대 안엔 달이 있는데 Cover by 탑현",5,
"이수현, 온유 - 깊은 밤을 날아서 (바라던 바다 Ver.) Cover by 탑현",12,
임한별 - 이별하러 가는 길 Cover by 탑현,16,
오랜만에 달달한거🍯 피아노맨 - 사랑한다는 말로는 (Feat.주시크) Cover by 탑현,11,
윤도 - 중독된 사랑 (원곡 : 조장혁) Cover by 탑현,8,
카더가든 - 가까운 듯 먼 그대여 Cover by 탑현,15,
케이시 - 늦은 밤 헤어지긴 너무 아쉬워 (남자커버) Cover by 탑현,1.6천,
"남녀듀엣 축가 추천! 다혜님과 ""다정히 내 이름을 부르면 Easy Ver(-2key)"" ㅣ 원곡 : 경서예지, 전건호",8,
[COVER] 임도혁 - 이별이란 게 뭐라고 ㅣ Cover by 탑현,6,
[COVER] 정효빈 - 몇 번의 이별 (남자커버) ㅣ Cover by 탑현,16,
"휘인 - 너, 너 (원곡 : 스트레이) Cover by 탑현",9,
산들 - 그대 한 사람 (원곡 : 김수현) Cover by 탑현,11,
[COVER] 케이시 - 너의 발걸음에 빛을 비춰줄게(Prod.조영수) 남자커버 ㅣ Cover by 탑현,9,
[COVER] 신예영 - 미안하다고 말하지 말아 줘 (남자커버) ㅣ Cover by 탑현,13,
순순희 - 살기 위해서 (원곡:노을) Cover by 탑현,33,
[COVER] IU(아이유) - Celebrity (Male Cover) 남자커버 ㅣ Cover by 탑현(Tophyun),19,
[COVER] 순순희 - 큰일이다 리메이크 (원곡 : V.O.S) ㅣ Cover by 탑현,10,
주시크 - 아무래도 난 Cover by 탑현,367,
김재환 - 달팽이 Cover by 탑현,4,
성시경 - 희재 Cover by 탑현,3,
남혁 - 바라보다 Cover by 탑현,8,
그대와 달 아래🌙 탑현 커버ver,103,
10CM - 그라데이션 Cover by 탑현,21,
[COVER] 조정석 - 아로하 (슬기로운 의사생활 OST) 일반인 커버 ㅣ Cover by 탑현,14,
[COVER] 정동원 - 다시는 아파하지 않게 ㅣ Cover by 탑현,22,
[COVER] XIA(준수) - 사랑하고 싶지 않아 (바른연애 길잡이 OST) l Cover by 탑현,14,
황인욱 - 강변북로 Cover by 탑현,11,
[COVER] 다운 - 괜찮아 (경이로운 소문 OST Part 3) ㅣ Cover by 탑현,20,
[COVER] 정승환 - 눈사람 ㅣ Cover by 탑현,16,
임창정 - 나는 트로트가 싫어요 Cover by 탑현,4,
[COVER] 바이브(VIBE) - 가을 타나봐 ㅣ Cover by 탑현,14,
[COVER] 이우 - 소개팅 날 (Piano Ver.) l Cover by 탑현,11,
순순희 - 해운대 Cover by 탑현,14,
[COVER] 휘현 - 사랑의 시작은 고백에서부터 (new) ㅣ Cover by 탑현,12,
이석훈 - 바보에게 바보가 (원곡 : 박명수) Cover by 탑현,25,
[COVER] 윤종신 - 좋니 ㅣ Cover by 탑현,21,
21학번 - 스티커 사진 (남자커버) Cover by 탑현,29,
[COVER] 아이유(IU) - 내 손을 잡아 (남자커버) ㅣ Cover by 탑현,21,
모세 - 사랑인걸 Cover by 탑현,23,
[COVER] 이예준 - 안녕과 안녕으로 (남자커버) ㅣ Cover by 탑현,14,
임한별 - 밤하늘의 별을 (Original) Cover by 탑현,13,
[COVER] 스탠딩에그 - Little Star l Cover by 탑현,23,
버즈(Buzz) - My Love / Cover by 탑현,20,
[COVER] V.O.S - 니 이름 불렀나 봐 ㅣ Cover by 탑현,11,
멜로망스 - 고백 (원곡 : 뜨거운 감자) Cover by 탑현,17,
송하예 - 겨울비 (남자커버) Cover by 탑현,17,
[COVER] 트리탑스 - 청개구리 (2021 Ver.) ㅣ Cover by 탑현,19,
잠골버스 - 못해준 게 많아서 Cover by 탑현,16,
[COVER] 닐로 - 들려줄게 ㅣ Cover by 탑현,21,
양다일 - 미안해 Cover by 탑현,19,
다소 부드럽게 돌아가는 회전목마🎠 Cover by 탑현,50,
"시든 꽃에 물주시는 HYNN(박혜원)님과 함께 신곡 ""주말이 싫어졌어"" Duet",17,
비오(BE'O) - 리무진(feat. MINO) Cover by 탑현 with 고떡,56,
[COVER] #안녕 - 붙잡고 싶어도 ㅣ Cover by 탑현,15,
