channelTitle,title,category_id,views,likes,comments,tags,publishedAt
버블디아,(+3키업)꼭 하고 싶었던 곡♡ 원러브 onelove - 엠씨더 맥스 mc the max | 버블디아,10,1405327,6277,740,"['버블디아', 'bubbledia', '아프리카', '아프리카tv', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'sexy', 'korean', 'girl', 'bjbubbledia', 'bj버블디아', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안']",2018-11-23T08:58:53Z
버블디아,(+3키업) 드디어... 부르네요💣Say Yes- 활 커버 | 버블디아,10,1736087,10599,2180,"['버블디아', 'bubbledia', '아프리카', '아프리카tv', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'sexy', 'korean', 'girl', 'bjbubbledia', 'bj버블디아', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안']",2018-11-16T09:11:19Z
버블디아,그 시절 우린 모두 버즈였다...🧡 남자를 몰라 커버 - 버즈 (여자버전) | 버블디아,10,797034,5037,685,"['버블디아', 'bubbledia', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'korean', 'girl', 'bjbubbledia', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안', '커버송', 'coversong', 'cover', 'Jfla', 'rock', 'rockballad', '롹발라드', 'you', 'myway', '질풍가도', 'dontcry']",2019-06-26T08:12:11Z
버블디아,와인...미쳤다.....김경호 커버 | 버블디아,10,3262320,14158,1843,"['버블디아', 'bubbledia', '아프리카', '아프리카tv', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'sexy', 'korean', 'girl', 'bjbubbledia', 'bj버블디아', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안']",2019-02-28T09:19:29Z
버블디아,(편곡ver.)플라워 눈물 커버 (Endless 만큼 명곡👍) | 버블디아,10,649752,4090,658,"['버블디아', 'bubbledia', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'korean', 'girl', 'bjbubbledia', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안', '커버송', 'coversong', 'cover', 'Jfla', 'rock', 'rockballad', '롹발라드', 'you', 'myway', '질풍가도', 'dontcry']",2019-08-30T08:06:34Z
버블디아,[얀 컬렉션#1] 90만 감사합니다 ❤️5키↑그래서 그대는 (커버)- 얀 (yarn) | 버블디아,10,1914510,9190,1280,"['버블디아', 'bubbledia', '아프리카', '아프리카tv', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'sexy', 'korean', 'girl', 'bjbubbledia', 'bj버블디아', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안']",2018-06-29T08:31:39Z
버블디아,가슴을 울리는 국민송♡가질수 없는 너 - 뱅크 커버 | 버블디아,10,2750460,12199,1013,"['버블디아', 'bubbledia', '아프리카', '아프리카tv', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'sexy', 'korean', 'girl', 'bjbubbledia', 'bj버블디아', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안']",2018-11-21T09:09:57Z
버블디아,(+2키 락 편곡) '늪' 조관우 커버: 90년대 음악에 격동기를 만든 곡,10,1265118,7611,958,"['버블디아', 'bubbledia', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'korean', 'girl', 'bjbubbledia', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안', '커버송', 'coversong', 'cover', 'Jfla', 'rock', 'rockballad', '롹발라드', 'you', 'myway', '질풍가도', 'dontcry']",2019-09-27T08:42:39Z
버블디아,(+4 키업)계속 1위!!!🎉 넘쳐흘러 커버 - Mc the Max | 버블디아,10,1787620,12856,2267,"['버블디아', 'bubbledia', '아프리카', '아프리카tv', '뮤지컬', '올드팝', 'musical', 'oldpop', 'popsong', 'sexy', 'korean', 'girl', 'bjbubbledia', 'bj버블디아', '보스톤음대', '레미제러블', '너의목소리가보여', '너목보', '엘사녀', '리디아안']",2019-01-10T08:41:51Z
버블디아,노래방 1위곡은 이거지. 응급실 🚨 커버| 버블디아 izi 이지,10,276956,2526,292,"['버블디아', 'Bubble Dia', 'izi', '이지', '응급실', 'emergency', '슈가맨', '추억소환', '탑골공원', '집에서함께해요', '집에서함께음악들어요', '싱어게인', '종로3가', '슈스케', '정승환', '임영웅']",2020-12-04T08:09:13Z
