channelTitle,title,category_id,views,likes,comments,tags,publishedAt
성시경 SUNG SI KYUNG,"성시경 with friends '자,오늘은' Teaser l 12월 30일 금요일 밤 11시 20분 SBS",22,88878,4554,533,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄']",2022-12-15T05:00:02Z
성시경 SUNG SI KYUNG,[성시경 노래] 44. 잊혀지는 것들에 대하여 l Sung Si Kyung Music,10,253160,11532,1684,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄']",2022-11-30T09:00:09Z
성시경 SUNG SI KYUNG,"[성시경 콘서트] '자, 오늘은' 비하인드",22,170594,6186,538,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄']",2022-09-15T09:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 43. 넌 감동이었어 l Sung Si Kyung Music,10,1080535,19554,1977,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-08-06T09:00:11Z
성시경 SUNG SI KYUNG,"[성시경 노래] 31~40 모아듣기 l Sung Si Kyung Music l 거리에서, 그 자리에 그 시간에, 편지, 이 바보야, 늘 그대, 인사",10,394834,6893,590,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-08-17T09:00:21Z
성시경 SUNG SI KYUNG,[성시경 노래] 42. 미소천사 l Sung Si Kyung Music,10,291801,11751,1885,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-07-28T09:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 41. 여전히 아늑해 (With.규현) l Sung Si Kyung Music,10,436896,14969,1299,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-07-18T09:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 40. 그 자리에 그 시간에 l Sung Si Kyung Music,10,476556,12383,1619,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-07-11T09:00:15Z
성시경 SUNG SI KYUNG,"[성시경 노래] 21~30 모아듣기 l Sung Si Kyung Music l 희재, 너의 모든 순간, 우린 제법 잘 어울려요, 나였으면, 내게 오는길",22,1161994,17445,1011,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄']",2022-05-23T09:00:25Z
성시경 SUNG SI KYUNG,[성시경 노래] 39. 인사 l Sung Si Kyung Music,10,297674,9034,763,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄']",2022-05-18T09:00:17Z
성시경 SUNG SI KYUNG,[성시경 노래] 38. 늘 그대 l Sung Si Kyung Music,10,469178,13762,1098,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-05-09T09:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 37. 거리에서 l Sung Si Kyung Music,10,796398,15188,1424,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-05-02T09:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 36. 끝에 l Sung Si Kyung Music,10,231609,7810,845,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-04-26T09:00:11Z
성시경 SUNG SI KYUNG,[성시경 노래] 35. 이 바보야 (With.정승환) l Sung Si Kyung Music,10,1119270,27612,2023,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-04-18T09:00:14Z
성시경 SUNG SI KYUNG,[성시경 노래] 34. 편지 l Sung Si Kyung Music,10,825181,18030,1644,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-04-14T09:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 33. Who do you love.. l Sung Si Kyung Music,10,211039,6872,738,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-04-11T09:00:10Z
성시경 SUNG SI KYUNG,[성시경 노래] 32. 당신은 참.. l Sung Si Kyung Music,10,287748,8413,780,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-04-04T09:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 31. 안녕 나의 사랑 l Sung Si Kyung Music,10,652099,13415,1395,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', '토이', '유희열', '안녕 나의 사랑']",2022-03-31T09:00:14Z
성시경 SUNG SI KYUNG,[성시경 노래] 30. 내게 오는 길 l Sung Si Kyung Music,10,1478116,22959,2157,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', '내게 오는 길', '김형석', '데뷔곡']",2022-03-28T09:00:08Z
성시경 SUNG SI KYUNG,[성시경 노래] 29. 1994년 어느 늦은 밤 (With.장혜진) l Sung Si Kyung Music,10,971986,20886,1448,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-03-24T09:00:12Z
성시경 SUNG SI KYUNG,"[성시경 노래] 11~20 모아듣기 l Sung Si Kyung Music l 그리움, 잊지 말기로 해, 태양계, 아리랑, 눈부신 고백, 사랑이 늦어서 미안해, 한번 더 이별",10,634019,9527,589,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-03-21T09:00:11Z
성시경 SUNG SI KYUNG,[성시경 노래] 26. 나였으면 (With.나윤권) l Sung Si Kyung Music,10,3947178,65927,5526,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-03-03T03:00:10Z
성시경 SUNG SI KYUNG,"[성시경 노래] 1~10 모아듣기 l Sung Si Kyung Music l 처음, 바람 그대, 두 사람, 너는 나의 봄이다, 차마, 좋을텐데, 외워두세요",10,1182176,20044,1271,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-03-14T03:00:15Z
성시경 SUNG SI KYUNG,[성시경 노래] 28. Something Stupid (With.안신애) l Sung Si Kyung Music,10,237401,8839,797,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', ""Somethin' Stupid"", 'Robbie Williams', 'Nicole Kidman']",2022-03-10T03:00:12Z
성시경 SUNG SI KYUNG,"[성시경 노래] 27. 오, 사랑 l Sung Si Kyung Music",10,195687,7305,660,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', '루시드폴']",2022-03-07T03:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 25. 우린 제법 잘 어울려요 l Sung Si Kyung Music,10,409173,10766,1158,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-02-28T03:00:27Z
성시경 SUNG SI KYUNG,[성시경 노래] 24. 너의 모든 순간 l Sung Si Kyung Music,10,2181504,33488,2782,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', '별에서온그대', '별그대', 'OST', '드라마 OST', '전지현', '김수현']",2022-02-24T03:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 23. Dying Man (With.하림) l Sung Si Kyung Music,10,302991,8408,1025,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-02-21T03:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 22. You've Got A Friend l Sung Si Kyung Music,10,200158,6898,697,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', ""You've Got A Friend"", 'Carole King']",2022-02-17T03:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 21. 희재 l Sung Si Kyung Music,10,5160582,76845,6497,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', '희재', '국화꽃향기', 'OST', '영화 OST']",2022-02-14T03:00:11Z
성시경 SUNG SI KYUNG,[성시경 노래] 20. あの頃へ (그때로) l Sung Si Kyung Music - Ano Koroe,10,244453,6866,695,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', '커버곡', '팝송']",2022-02-10T03:00:28Z
성시경 SUNG SI KYUNG,[성시경 노래] 19. 한번 더 이별 l Sung Si Kyung Music,10,1987404,27872,2239,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-02-07T03:00:08Z
성시경 SUNG SI KYUNG,[성시경 노래] 18. 사랑이 늦어서 미안해 (With.김조한) l Sung Si Kyung Music,10,3279986,49218,5017,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', '김조한']",2022-02-03T03:00:16Z
성시경 SUNG SI KYUNG,[성시경 노래] 17. My One and Only Love (With. 김광민) l Sung Si Kyung Music,10,233559,7838,709,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert', 'My One And Only Love', '김광민', '재즈피아니스트', '피아니스트', '팝송', '팝송 커버']",2022-01-31T03:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 16. 눈부신 고백 l Sung Si Kyung Music,10,676972,13877,1507,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '성시경콘서트', 'concert']",2022-01-27T03:00:13Z
성시경 SUNG SI KYUNG,[성시경 노래] 15. 아리랑 l Sung Si Kyung Music,10,169754,6249,666,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad']",2022-01-24T03:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 14. 태양계 l Sung Si Kyung Music,10,538643,15557,1435,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad', '강승원']",2022-01-20T03:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 13. 잊지 말기로 해 (With.장필순) l Sung Si Kyung Music,10,999138,23893,1833,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad']",2022-01-17T03:00:09Z
성시경 SUNG SI KYUNG,[성시경 노래] 12. When You Look in My Eyes l Sung Si Kyung Music,10,296455,8121,905,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad']",2022-01-13T03:00:12Z
성시경 SUNG SI KYUNG,[성시경 노래] 11. 그리움 l Sung Si Kyung Music,10,308884,7968,792,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad']",2022-01-10T03:00:14Z
성시경 SUNG SI KYUNG,[성시경 노래] 10. 외워두세요 l Sung Si Kyung Music,10,635537,13037,1557,"['성시경', '성시경유튜브', 'SUNGSIKYUNG', 'SSK', 'ソンシギョン', '成始璄', '성시경 음악', '성시경 노래', '성발라', '발라드', '노래', '피아노', 'Ballad', 'k-pop', 'k ballad']",2022-01-06T03:00:14Z
