channelTitle,title,category_id,views,likes,comments,tags,publishedAt
셀프노트 스튜디오,"원곡자도 놀랄 미친 cover 장혜진,윤민수(바이브) - 술이 문제야 커버(Cover by. 전철민x지세희)",10,1457730,12439,724,"['술이문제야커버', '술이문제야 cover', '일반인커버송', '역대급노래', '장혜진', '윤민수', '바이브', '전철민', '멜론1위곡', '술이문제야', '신곡', '더 히든 전철민', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '노래커버', 'kpop', '커버곡', '일반인노래', '셀프노트녹음실', '셀프노트스튜디오', '민수형보고있나', '코인노래방', 'dingo', '술이야', '그남자그여자', '코노', '지세희']",2019-06-28T11:30:03Z
셀프노트 스튜디오,"극한의 이별을 보여주는 ""벤(BEN) - 헤어져줘서 고마워"" 커버 남자ver (Cover by. 전철민)",10,1561682,19526,1154,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', '더히든', '전철민', '타르트', '박시온', '벤', '헤어져줘서고마워', '메이저9', '메이저 9', '메이저나인', '바이브', '윤민수', '이별띵곡', '이별발라드', '슬픈가요', '이별노래', '헤어져줘서고마워 커버', '헤어져줘서고마워남자', '남자버전', '답가', '벤 노래 답가', '헤어져줘서고마워 답가', '한국가요', '30대남자이별', '이별', '커버가수', '커버', 'ENG', '영어버전', 'English', 'English ver']",2019-07-12T11:09:03Z
셀프노트 스튜디오,"이별한 만큼 들리는 술 메들리 (술이 문제야, 포장마차, 소주한잔, 술 한잔 해요) Vocal by.더히든 전철민",10,891090,12404,473,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '바이브', '장혜진', '술이문제야', '술이문제야커버', '황인욱', '포장마차', '포장마차커버', '임창정', '소주한잔', '소주한잔커버', '지아', '술한잔했어요', '술한잔했어요커버', '이별노래', '술노래', '메들리', '아는만큼들리는노래', '이별한만큼들리는노래', '전철민', '더히든', '셀프노트일반인녹음실', '녹음실', '커버영상', '커버송', '노래', '케이팝', '술이문제야 cover', '윤민수', '멜론1위곡']",2019-07-10T10:15:01Z
셀프노트 스튜디오,양다일(Yang Dall) - my love 커버 (Cover by. 카진),10,26727,174,21,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '양다일', '셀프노트스튜디오', 'yangdall', 'mylove', '마이러브', 'mylover 커버', '양다일 커버곡', '양다일커버', 'SELFNOTE', '커버노래', '새드한노래', '슬픈노래', '카진', '마이러브 커버', '양다일 커버', '보컬 카진', '슬퍼하지마요', '이별', '내사랑', '나의사랑', '사랑하는노래', '고마워']",2019-07-15T10:15:00Z
셀프노트 스튜디오,"노래 끝판왕 형들이 부르는 ""임재현 - 사랑에 연습이 있었다면"" 커버 (cover) 듀엣ver.",10,318287,1673,129,"['레전드오브레전드', '듀엣커버', '임재현', '더히든', '전철민', '셀프노트스튜디오', '셀프노트녹음실', '카진', '커버레전드', '소름돋는 일반인', '창현노래방', '엠넷', '일소라', '일반인커버', '사랑에연습이있었다면', '남자노래잘하는', '노래잘하는형', 'm2', '노래하는코트', '레전드커버영상', '임재현보고있나', 'cover']",2019-06-15T11:30:01Z
셀프노트 스튜디오,굿바이 역대급 커버!! 드디어 나왔다 :: 박효신 - goodbye 커버 (cover by. 전철민),10,147485,1197,162,"['역대급', '커버노래', '박효신', 'cover', '창현노래방', '더히든', '전철민', 'goodbyecover', 'goodbte', '박효신신곡', '듣고싶은노래', '일반인노래', '일반인커버', '커버동영상', '딩고뮤직', '뮤플리', '엠넷', 'm2', 'kpop', '한국노래', '발라드', '박효신goodbye커버']",2019-06-09T09:00:07Z
셀프노트 스튜디오,ENG) D.O 디오 ' 괜찮아도 괜찮아 (That's Okay)' 커버 (Cover by. 지울),1,20369,489,41,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '지울', '디오', 'D.O', '괜찮아도괜찮아', 'thatsokay', '커버곡', '커버', '괜찮아도괜찮아 커버', 'Thats Okay D.O Cover', 'Thats Okay Cover', '케이팝', '엑소', 'EXO', '엑소디오', 'coversong', 'jiwl', 'JiwooL', 'genie pak', 'SM', 'SM station', 'do', 'exo', 'weareone_exo', 'thats_okay', 'station3', '스테이션', 'station', 'smtown', 'smentertainment', '뮤직비디오 커버', 'MV cover', 'mv', '커버가수', 'Eng thats_okay']",2019-07-07T11:30:01Z
셀프노트 스튜디오,다시듣고 싶은 역대급 명곡  '바이브 - 술이야'  커버 (Cover  by. Soul Cry & Kajin),10,78805,520,18,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '술이야', '바이브', '술이야커버', '술이문제야', '바이브노래', '카진', '소울크라이', 'Kajin', 'soul cry', '노래커버', '일반인노래커버', '노래다시듣기', '띵곡', '술노래', '슬픈노래', '케이팝', '셀프노트스튜디오', '셀프노트녹음실', '레전드', '이별곡', '이별노래', '후아빠', '윤민수', '딩고', '소름돋는라이브', '커버가수', '커버', '버스킹', '노래하는코트', '하비TV', '창연노래방', '듀엣곡']",2019-07-06T11:30:00Z
셀프노트 스튜디오,새벽 이별 감성 으로 부른 황인욱(Inwook Hwang) - 포장마차 커버 (cover. by 전철민),10,481946,2933,163,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '전철민', '포장마차', '황인욱', '역주행', '역주행노래', '포장마차 커버', '커버 포장마차 남자', '노래', '포차', '하우엔터테인먼트', '셀프노트녹음실', '셀프노트스튜디오', 'ballad', '발라드노래커버', '발라드노래추천', '남자발라드', '히든싱어', '김범수', '뽀현욱', '포장마차남자커버', '황인욱포장마차cover', '황인욱포장마차 커버']",2019-07-04T11:30:00Z
셀프노트 스튜디오,박효신 콘서트 오프닝 보고 반해서 불러본 '박효신(park hyo shin) - 연인'  커버 (cover by. 전철민),10,48463,427,43,"['일반인커버송', '역대급노래', '리누', 'LEENU', 'm.net', '일소라', '딩고뮤직', 'm2', '엠투', '역대급커버', '미친감성노래', '원더케이', '1thek', 'SMTOWN', 'Kpop', '발라드', '요즘듣고싶은노래', '추천노래', '명곡', '셀프노트', '라이브', '멜론', '음악', 'music', '1theK', 'loen', '신곡', 'new', 'song', '한류', 'hallyu', 'ロエン', 'ミュ?ジック', '韓流', '韓?', '아이돌', 'idol', 'Lyric Video', 'Park Hyo Shin', '박효신', '戀人', '연인', '박효신신곡', '창현노래방', '창현노래방 전철민', '전철민', '연인커버', '박효신연인커버', '박효신 콘서트', '박효신콘서트 오프닝', '박효신연인', '커버가수', '버스킹', '커버']",2019-07-01T09:00:03Z
