channelTitle,title,category_id,views,likes,comments,tags,publishedAt
임한별,임한별 - 길을 잃었다 | 작업실 LIVE,10,25474,527,79,"['임한별 길을잃었다', '임한별']",2022-12-01T09:00:09Z
임한별,[임한별] 사랑하면 안 되는 사람 (커튼콜 OST Part.6),10,54155,923,134,"['임한별', '커튼콜']",2022-11-22T11:00:30Z
임한별,다시 만나는 날에 (황민현) - 임한별,10,31617,749,82,0,2022-09-13T11:00:11Z
임한별,[작업실 커버] 이별한 이유가 너무 아파 - 임한별,10,89640,1461,140,"['임한별', '쌀별', '이별한이유가너무아파', '라이브', '커버']",2022-08-28T14:02:20Z
임한별,"""X잘한다!!"" 욕 나와버린 작업실 라이브! [비가 오는 밤이면 - 임한별 w.이국주]",10,77882,1215,244,"['임한별', '이국주', '비가오는밤이면', '라이브', '커버', '케이팝', 'Kpop', 'onestar', '쌀별']",2022-06-26T07:00:02Z
임한별,사랑인가 봐 (멜로망스) - 임한별,10,157527,2310,234,"['멜로망스', '임한별', '안효섭', '사랑인가봐', '김세정']",2022-03-12T11:00:12Z
임한별,"왈칵 (쇼윈도:여왕의집 OST, 임한별) - 임한별",10,84637,1059,172,0,2022-01-22T09:24:17Z
임한별,9월 24일 (임한별) - 임한별,10,282080,3268,361,0,2021-10-03T11:06:32Z
임한별,"Hurt (백현,서문탁) - 임한별",10,62498,1767,260,"['임한별', '백현', '서문탁', 'hurt']",2021-05-11T09:00:04Z
임한별,"사랑한단 거짓말은 안 할래 (먼데이키즈,최현준) - 임한별",10,355220,2706,407,"['임한별', '먼데이키즈', '사랑한단 거짓말은 안할래']",2021-02-22T09:33:47Z
임한별,나랑 같이 걸을래 (적재) - 임한별,10,238312,2483,317,"['임한별', '적재', 'jukjae', 'Onestar', '쌀별', '커버', 'Kpop', '라이브', '나랑같이걸을래']",2021-01-28T18:18:01Z
임한별,너의 번호를 누르고 (#안녕) - 임한별,10,937437,6477,650,"['임한별', '쌀별', '쌀별이형', '안녕', '#안녕', '너의번호를누르고', '너번누', '커버', '라이브', 'Kpop', 'Onestar']",2021-01-22T09:00:21Z
임한별,12월의 어느 겨울... (윤도) - 임한별,10,379218,3206,350,"['임한별', '쌀별이형', '윤도', '12월의어느겨울', '커버', 'Kpop', '발라드', '라이브']",2021-01-15T09:53:55Z
임한별,편지 (원곡: 김광진) - 임한별 (Remake version),10,124533,1670,225,"['임한별', '김광진', '편지', '커버', '노래', '감성']",2021-01-02T12:41:12Z
임한별,서로를 위한 것 (나얼) - 임한별,10,193729,2487,342,"['임한별', '나얼', '서로를 위한 것', '브아솔', '브라운아이드소울', '쌀별', '커버', 'Kpop', '라이브', '노래']",2020-12-31T08:57:22Z
임한별,우리 사랑한 동안 (에일리) - 임한별,10,480371,4718,593,"['임한별', '에일리', 'Onestar', 'Hanbyul', 'Ailee', '쌀별', '우사동', '우리사랑한동안', '커버', 'Kpop']",2020-10-07T16:52:01Z
임한별,오늘따라 비가 와서 그런가 봐 (솔지) - 임한별,10,358616,3097,417,"['임한별', '솔지', 'exid', 'cover', '커버', '라이브', '쌀별', '오늘따라비가와서그런가봐', '비', 'Solji', 'Onestar']",2020-07-10T09:00:11Z
임한별,"너는 나의 시작이자 마지막이다 (임한별,김재환) - 임한별",10,346132,3678,422,"['임한별', '김재환', '너나시마', '너는나의시작이자마지막이다', '쌀별이형', '라이브', '더킹', 'TheKing', 'OST', 'TheKingOST', '이민호', 'LeeMinHo', 'the king', 'the king ost', ""You're my end and my beginning""]",2020-06-28T18:16:45Z
임한별,"안녕, 오늘의 그대에게 (임한별) - 임한별",10,922287,7920,813,"['임한별', 'Onestar', '안녕', '안녕오늘의그대에게', 'Hello', '노래', '라이브', '커버', '쌀별이형', '쌀별', 'Kpop']",2020-03-27T09:00:07Z
임한별,잘 지내고 있는지 궁금해 (V.O.S) - 임한별,10,1270014,7989,825,"['임한별', '쌀별', 'VOS', '최현준', '김경록', '박지헌', 'V.O.S', '잘지내고있는지궁금해', '라이브', '커버']",2020-02-18T10:00:03Z
임한별,내가 많이 사랑해요 (이승철) - 임한별,10,592725,5126,493,0,2020-02-01T15:16:11Z
임한별,좋은 사랑이었다 (임한별) - 임한별,10,440725,3385,311,"['임한별', '좋은사랑이었다', '쌀별', '라이브', '커버', '노래', '가수', 'Kpop', 'Onestar']",2020-01-28T22:00:02Z
임한별,너를 사랑하고 있어 (백현) - 임한별,10,320137,8827,665,"['임한별', '쌀별', '한별', 'Onestar', '원스타', '라이브', '커버', '백현', 'OST', '김사부', 'Baekhyun', 'Exo', '엑소', '너를사랑하고있어']",2020-01-23T18:24:45Z
임한별,[라이브 버전] 넌 나의 전부 (I can't take my eyes off you) - 임한별,10,2009575,12735,993,"['임한별', '한별', '쌀별', 'Onestar', '원스타', '넌나의전부', '라이브', '커버', '김나박이', ""I can't take my eyes off you"", ""Can't take my eyes off you""]",2019-12-04T10:00:04Z
임한별,시든 꽃에 물을 주듯 (HYNN(박혜원)) - 임한별,10,1290723,12580,1384,"['임한별', '박혜원', 'HYNN', '시든꽃에물을주듯', '커버', '라이브']",2019-09-02T19:24:22Z
임한별,사랑 이딴 거 (임한별) - 임한별,10,2281038,14473,1624,"['임한별', '쌀별', '쌀별이형', '사랑이딴거', '이별하러가는길', '라이브', '음악', '노래', '먼데이키즈']",2019-02-01T09:30:01Z
임한별,이별하러 가는 길 (임한별) - 임한별,10,2861851,19514,2769,"['임한별', '이별하러가는길', '라이브', '커버']",2018-10-16T11:00:08Z
임한별,하루도 그대를 사랑하지 않은 적이 없었다 (임창정) - 임한별,10,513010,5627,1136,"['임창정', '하루도그대를사랑하지않은적이없었다', '커버', '임한별', '슈렉', '녹색괴물', '복면가왕', '하그사', '라이브']",2018-12-16T11:30:00Z
임한별,비 (폴킴) - 임한별,10,494726,4550,590,"['임한별', '폴킴', '비', '라이브', '커버', '쌀별', '이별하러가는길']",2018-10-07T04:01:11Z
