title,dislikes,hashtag
에디킴(Eddy Kim) - 너 사용법(The Manual) Cover By 까까들(Cookies),0,
버스커 버스커(Busker Busker) - 여수 밤바다(Yeosu Night Sea) Cover By 까까들(Cookies),0,
버스커 버스커(Busker Busker) - 정류장(Bus Stop) Cover By 까까들(Cookies),0,
조정석(Jo Jung Suk) - 아로하(Aloha) Cover By 까까들(Cookies),0,
에릭남(Eric Nam) & 웬디(Wendy) – 봄인가 봐(Spring Love) Cover By 까까들(Cookies) (With. 심민지),0,
10cm - 애상(Sorrow) Cover By 까까들(Cookies),0,
마인드유(MIND U) - 사랑해줘요(Love Me) Cover By 까까들(Cookies),0,
성시경(Sung Si Kyung) - 너의 모든 순간(Every Moment of You) Cover By 까까들(Cookies) (With. 배재혁),0,
포맨(4MEN) - Baby Baby Cover By 까까들(Cookies) (With. 배재혁),0,
"엠씨 더 맥스(M.C the MAX) - Someday Cover By 까까들(Cookies) (With. 김대성, 배재혁)",0,
마크툽(MAKTUB) & 구윤회(Gu Yoon Heo) - Marry Me Cover By 까까들(Cookies),0,
윤종신(Yoon Jong Shin) - 오르막길(Uphill Road) Cover By 까까들(Cookies) (With. 이형준),0,
포맨(4MEN) - 넌 나의 집(You’re My Home) Cover By 까까들(Cookies) (With. 한지혁),0,
10cm - 스토커(Stalker) Cover By 까까들(Cookies),0,
긱스(Geeks) - Officially Missing You Cover By 까까들(Cookies),0,
2NE1(투애니원) - Lonely Cover By 까까들(Cookies),0,
윤종신(Yoon Jong Shin) - 1월부터 6월까지(From January to June) Cover By 까까들(Cookies),0,
그_냥(J_ust) - 너의 밤은 어때(How's your Night) Cover By 까까들(Cookies),0,
윤딴딴(YunDDanDDan) - 니가 보고싶은 밤(The Night I Miss You) Cover By 까까들(Cookies),0,
윤종신(Yoon Jong Shin) - 좋니(Like it) Cover By 까까들(Cookies),0,
볼빨간사춘기(BOL4) & 스무살(20 Years Of Age) - 남이 될 수 있을까(We Loved) Cover By 까까들(Cookies) (With. 심민지),0,
"자우림(Jaurim) - 스물다섯, 스물하나(Twenty-five, Twenty-one)(장범준 Ver) Cover By 까까들(Cookies)",0,
윤종신(Yoon Jong Shin) - 오래전 그날(The Day Long Ago) Cover By 까까들(Cookies),0,
어쿠루브(Acourve) - 헤어지던 밤(The Night of Parting) Cover By 까까들(Cookies),0,
폴킴(Paul Kim) - 어제처럼(Like Yesterday) Cover By 까까들(Cookies),0,
홍민정(Hong Min Jung) - 아마도 그건(Perhaps that) Cover By 까까들(Cookies),0,
엠씨 더 맥스(M.C THE MAX) - 입술의 말(Lying on your Lips) Cover By 까까들(Cookies) (With. 김성문),0,
장덕철(JANG DEOK CHEOL) - 그날처럼(Good old days) Cover By 까까들(Cookies) (With. 김성문),0,
어반자카파(Urban Zakapa) - 널 사랑하지 않아(I Don't Love You) Cover By 까까들(Cookies),0,
이적(Lee Juck) - 그땐 미처 알지 못했지(I didn't know that time) Cover By 까까들(Cookies),0,
넬(Nell) - 기억을 걷는 시간(Time Spent Walking Through Memories) Cover By 까까들(Cookies),0,
"태양(Taeyang) - 눈, 코, 입(Eyes, Nose, Lips) Cover By 까까들(Cookies)",0,
브리즈(The Breeze) - 뭐라할까!(What can I say) Cover By 까까들(Cookies),0,
주호(Juho) - 내가 아니라도(Without me) Cover By 까까들(Cookies) (With. 김성문),0,
"G-DRAGON - 무제(無題) (Untitled, 2014) Cover By 까까들(Cookies)",0,
성시경(Sung Si Kyung) · 희재(HeeJae) Cover By 까까들(Cookies),0,
에이치코드(H:CODE) - 꿈속에 너 (Feat. 전상근) Cover By 까까들(Cookies),0,
임한별(Onestar) - 오월의 어느 봄날(May We Bye)(feat. CHEN) Cover By 까까들(Cookies),0,
성시경(Sung Si Kyung) - 한번 더 이별(Once more farewell) Cover By 까까들(Cookies),0,
이적(Lee Juck) - 하늘을 달리다(Running in the Sky) Cover By 까까들(Cookies),0,#노래커버 #Cover #Music
"로맨틱 펀치(Romantic Punch) - 안녕, 잘 가!(Hasta la vista) Cover By 까까들(Cookies)",0,#노래커버 #Cover #Music
스탠딩 에그(Standing Egg) - 오래된 노래(Old Song) Cover By 까까들(Cookies),0,#노래커버 #Cover #Music
이무진(Lee Mujin) - 과제곡(교수님 죄송합니다) Cover By 까까들(Cookies),0,#과제곡 #이무진 #노래커버
